        Frequency / GHz                X (8)/abs,linear
                 4.25151                       5.9417064
               4.2569746                       5.9153152
               4.2624393                       5.8814077
                4.267904                       5.8418622
               4.2733686                       5.7989114
               4.2788333                       5.7550519
                4.284298                         5.71293
               4.2897626                       5.6752044
               4.2952273                       5.6443925
                4.300692                       5.6227089
               4.3061566                        5.611909
               4.3116213                       5.6131557
                4.317086                       5.6269233
               4.3225506                       5.6529534
               4.3280153                       5.6902671
                 4.33348                       5.7372328
               4.3389446                       5.7916798
               4.3444093                       5.8510428
                4.349874                       5.9125221
               4.3553386                       5.9732445
               4.3608033                       6.0304138
                4.366268                       6.0814441
               4.3717326                       6.1240727
               4.3771973                       6.1564514
                4.382662                       6.1772176
               4.3881266                       6.1855472
               4.3935913                       6.1811884
                4.399056                       6.1644805
               4.4045206                       6.1363542
               4.4099853                       6.0983143
               4.4154499                       6.0524007
               4.4209146                        6.001126
               4.4263793                       5.9473853
               4.4318439                       5.8943344
               4.4373086                       5.8452377
               4.4427733                       5.8032875
               4.4482379                       5.7714029
               4.4537026                       5.7520249
               4.4591673                       5.7469277
               4.4646319                       5.7570695
               4.4700966                       5.7825043
               4.4755613                       5.8223682
               4.4810259                       5.8749409
               4.4864906                       5.9377744
               4.4919553                       6.0078678
               4.4974199                       6.0818671
               4.5028846                       6.1562692
               4.5083493                       6.2276122
               4.5138139                       6.2926441
               4.5192786                       6.3484639
               4.5247433                       6.3926359
               4.5302079                       6.4232783
               4.5356726                       6.4391296
               4.5411373                       6.4395953
               4.5466019                       6.4247769
               4.5520666                        6.395483
               4.5575313                       6.3532225
               4.5629959                       6.3001758
               4.5684606                       6.2391416
               4.5739253                       6.1734512
               4.5793899                       6.1068465
               4.5848546                       6.0433161
               4.5903193                       5.9868885
               4.5957839                       5.9413885
               4.6012486                       5.9101712
               4.6067133                       5.8958596
               4.6121779                       5.9001183
               4.6176426                       5.9234968
               4.6231072                       5.9653681
               4.6285719                       6.0239738
               4.6340366                       6.0965658
               4.6395012                       6.1796206
               4.6449659                       6.2690942
               4.6504306                       6.3606847
               4.6558952                       6.4500797
               4.6613599                        6.533172
               4.6668246                        6.606239
               4.6722892                       6.6660848
               4.6777539                       6.7101499
               4.6832186                       6.7365935
               4.6886832                       6.7443532
               4.6941479                       6.7331855
               4.6996126                       6.7036894
               4.7050772                       6.6573123
               4.7105419                       6.5963359
               4.7160066                        6.523837
               4.7214712                        6.443615
               4.7269359                        6.360078
               4.7324006                       6.2780754
               4.7378652                       6.2026716
               4.7433299                       6.1388583
               4.7487946                       6.0912172
               4.7542592                       6.0635602
               4.7597239                       6.0585912
               4.7651886                       6.0776403
               4.7706532                       6.1205202
               4.7761179                         6.18553
               4.7815826                       6.2696062
               4.7870472                       6.3685879
               4.7925119                       6.4775494
               4.7979766                       6.5911508
               4.8034412                       6.7039659
               4.8089059                       6.8107666
               4.8143706                        6.906752
               4.8198352                       6.9877279
               4.8252999                       7.0502406
               4.8307645                       7.0916763
               4.8362292                        7.110334
               4.8416939                        7.105478
               4.8471585                       7.0773741
               4.8526232                       7.0273109
               4.8580879                       6.9576042
               4.8635525                       6.8715791
               4.8690172                       6.7735214
               4.8744819                       6.6685837
               4.8799465                       6.5626318
               4.8854112                       6.4620119
               4.8908759                       6.3732271
               4.8963405                       6.3025213
               4.9018052                       6.2553959
               4.9072699                       6.2361087
               4.9127345                       6.2472348
               4.9181992                       6.2893738
               4.9236639                       6.3610659
               4.9291285                       6.4589354
               4.9345932                       6.5780238
               4.9400579                       6.7122395
               4.9455225                       6.8548428
               4.9509872                       6.9988994
               4.9564519                       7.1376646
               4.9619165                       7.2648851
               4.9673812                       7.3750246
               4.9728459                       7.4634262
               4.9783105                       7.5264293
               4.9837752                       7.5614531
               4.9892399                       7.5670598
               4.9947045                       7.5430023
               5.0001692                       7.4902629
               5.0056339                       7.4110794
               5.0110985                       7.3089577
               5.0165632                       7.1886594
               5.0220279                       7.0561497
               5.0274925                       6.9184817
               5.0329572                       6.7835875
               5.0384218                       6.6599432
               5.0438865                       6.5560836
               5.0493512                       6.4799685
               5.0548158                       6.4382511
               5.0602805                       6.4355535
               5.0657452                       6.4738988
               5.0712098                       6.5524361
               5.0766745                       6.6675308
               5.0821392                       6.8131868
               5.0876038                       6.9816855
               5.0930685                       7.1642956
               5.0985332                       7.3519343
               5.1039978                       7.5357097
               5.1094625                        7.707329
               5.1149272                       7.8593847
               5.1203918                       7.9855477
               5.1258565                       8.0806963
               5.1313212                        8.141006
               5.1367858                       8.1640159
               5.1422505                       8.1486865
               5.1477152                       8.0954529
               5.1531798                       8.0062786
               5.1586445                       7.8847069
               5.1641092                       7.7359033
               5.1695738                        7.566674
               5.1750385                       7.3854327
               5.1805032                       7.2020727
               5.1859678                       7.0276847
               5.1914325                       6.8740517
               5.1968972                       6.7528673
               5.2023618                       6.6746851
               5.2078265                       6.6477161
               5.2132912                       6.6767175
               5.2187558                       6.7622737
               5.2242205                       6.9006943
               5.2296852                       7.0845471
               5.2351498                       7.3036383
               5.2406145                       7.5461474
               5.2460791                       7.7996719
               5.2515438                       8.0520465
               5.2570085                       8.2919147
               5.2624731                       8.5090911
               5.2679378                       8.6947782
               5.2734025                       8.8416906
               5.2788671                       8.9441328
               5.2843318                       8.9980565
               5.2897965                       9.0011165
               5.2952611                       8.9527376
               5.3007258                       8.8541964
               5.3061905                       8.7087253
               5.3116551                       8.5216351
               5.3171198                       8.3004509
               5.3225845                       8.0550402
               5.3280491                       7.7976863
               5.3335138                       7.5430235
               5.3389785                       7.3076961
               5.3444431                        7.109563
               5.3499078                       6.9662864
               5.3553725                        6.893305
               5.3608371                       6.9015132
               5.3663018                         6.99532
               5.3717665                       7.1718205
               5.3772311                       7.4214053
               5.3826958                       7.7294904
               5.3881605                       8.0786595
               5.3936251                       8.4505801
               5.3990898                       8.8273841
               5.4045545                       9.1925042
               5.4100191                        9.531104
               5.4154838                       9.8302598
               5.4209485                       10.079016
               5.4264131                       10.268395
               5.4318778                         10.3914
               5.4373424                       10.443043
               5.4428071                       10.420406
               5.4482718                       10.322751
               5.4537364                       10.151682
               5.4592011                       9.9113925
               5.4646658                        9.608997

