        s / mm                X/real
              -18.922794                     0.098724383
              -18.641962                      0.10053428
               -18.36113                      0.10235321
              -18.080299                      0.10418042
              -17.799467                      0.10601517
              -17.518635                      0.10785666
              -17.237804                       0.1097041
              -16.956972                      0.11155667
               -16.67614                      0.11341353
              -16.395309                      0.11527378
              -16.114477                      0.11713656
              -15.833645                      0.11900099
              -15.552813                      0.12086614
              -15.271982                      0.12273105
               -14.99115                      0.12459477
              -14.710318                      0.12645635
              -14.429487                      0.12831478
              -14.148655                      0.13016905
              -13.867823                      0.13201815
              -13.586992                      0.13386104
               -13.30616                      0.13569665
              -13.025328                      0.13752396
              -12.744496                      0.13934191
              -12.463665                      0.14114935
              -12.182833                      0.14294517
              -11.902001                      0.14472833
               -11.62117                      0.14649774
              -11.340338                       0.1482522
              -11.059506                      0.14999058
              -10.778675                      0.15171182
              -10.497843                      0.15341473
              -10.217011                      0.15509816
              -9.9361795                        0.156761
              -9.6553478                      0.15840206
              -9.3745161                       0.1600202
              -9.0936844                      0.16161433
              -8.8128527                      0.16318326
               -8.532021                      0.16472579
              -8.2511893                      0.16624086
              -7.9703576                      0.16772738
              -7.6895259                      0.16918408
              -7.4086942                       0.1706099
              -7.1278625                      0.17200386
              -6.8470308                      0.17336469
              -6.5661991                      0.17469126
              -6.2853674                      0.17598268
              -6.0045357                      0.17723788
               -5.723704                      0.17845564
              -5.4428723                      0.17963496
              -5.1620406                      0.18077498
              -4.8812089                      0.18187463
              -4.6003772                      0.18293285
              -4.3195455                      0.18394875
              -4.0387138                      0.18492147
              -3.7578821                         0.18585
              -3.4770504                      0.18673341
              -3.1962187                      0.18757096
               -2.915387                      0.18836184
              -2.6345553                      0.18910513
              -2.3537236                       0.1898001
              -2.0728919                      0.19044605
              -1.7920602                      0.19104224
              -1.5112285                      0.19158796
              -1.2303968                      0.19208261
             -0.94956507                       0.1925256
             -0.66873337                      0.19291629
             -0.38790167                      0.19325415
             -0.10706997                      0.19353872
              0.17376173                      0.19376956
              0.45459343                      0.19394614
              0.73542513                      0.19406808
               1.0162568                      0.19413518
               1.2970885                       0.1941471
               1.5779202                      0.19410343
               1.8587519                      0.19400401
               2.1395836                      0.19384881
               2.4204153                      0.19363762
                2.701247                      0.19337024
               2.9820787                       0.1930467
               3.2629104                      0.19266711
               3.5437421                      0.19223139
               3.8245738                      0.19173956
               4.1054055                      0.19119193
               4.3862372                      0.19058875
               4.6670689                         0.18993
               4.9479006                      0.18921595
               5.2287323                      0.18844717
                5.509564                      0.18762395
               5.7903957                      0.18674659
               6.0712274                      0.18581562
               6.3520591                      0.18483151
               6.6328908                      0.18379483
               6.9137225                      0.18270625
               7.1945542                       0.1815663
               7.4753859                      0.18037566
               7.7562176                      0.17913515
               8.0370493                      0.17784549
                8.317881                      0.17650744
               8.5987127                      0.17512193
               8.8795444                      0.17368988
               9.1603761                      0.17221211
               9.4412078                      0.17068961
               9.7220395                       0.1691235
               10.002871                      0.16751478
               10.283703                      0.16586443
               10.564535                      0.16417364
               10.845366                      0.16244365
               11.126198                      0.16067556
                11.40703                      0.15887057
               11.687861                      0.15702996
               11.968693                      0.15515501
               12.249525                      0.15324703
               12.530357                      0.15130735
               12.811188                      0.14933733
                13.09202                      0.14733835
               13.372852                      0.14531178
               13.653683                      0.14325907
               13.934515                       0.1411817
               14.215347                      0.13908111
               14.496178                      0.13695878
                14.77701                      0.13481617
               15.057842                      0.13265477
               15.338674                      0.13047611
               15.619505                      0.12828182
               15.900337                      0.12607336
               16.181169                      0.12385217
                  16.462                      0.12161994
               16.742832                      0.11937822
               17.023664                      0.11712842
               17.304495                      0.11487219
               17.585327                      0.11261118
               17.866159                      0.11034672
               18.146991                      0.10808038
               18.427822                      0.10581383
               18.708654                      0.10354852
               18.989486                      0.10128591
               19.270317                     0.099027574
               19.551149                     0.096774951
               19.831981                      0.09452945
               20.112812                     0.092292593
               20.393644                     0.090065889
               20.674476                     0.087850627
               20.955308                     0.085648139
               21.236139                     0.083459955
               21.516971                     0.081287388
               21.797803                     0.079131621
               22.078634                     0.076994058
               22.359466                     0.074875991
               22.640298                     0.072778491
               22.921129                     0.070702775
               23.201961                     0.068650155
               23.482793                     0.066621739
               23.763625                     0.064618488
               24.044456                     0.062641476
               24.325288                     0.060691844
                24.60612                     0.058770512
               24.886951                      0.05687835
               25.167783                     0.055016359
               25.448615                     0.053185377
               25.729446                     0.051386157
               26.010278                     0.049619568
                26.29111                     0.047886323
               26.571941                     0.046187044
               26.852773                     0.044522478
               27.133605                     0.042893209
               27.414437                      0.04129969
               27.695268                     0.039742545
                 27.9761                     0.038222289
               28.256932                      0.03673921
               28.537763                     0.035293706
               28.818595                     0.033886191
               29.099427                     0.032516884
               29.380258                     0.031186033
                29.66109                     0.029893887
               29.941922                     0.028640544
               30.222754                     0.027426124
               30.503585                     0.026250697
               30.784417                     0.025114223
               31.065249                     0.024016718
                31.34608                     0.022958127
               31.626912                     0.021938304
               31.907744                     0.020957115
               32.188575                     0.020014346
               32.469407                     0.019109787
               32.750239                     0.018243152
               33.031071                     0.017414015
               33.311902                      0.01662211
               33.592734                     0.015867137
               33.873566                     0.015148514
               34.154397                     0.014465793
               34.435229                     0.013818572
               34.716061                     0.013206206
               34.996892                     0.012628152
               35.277724                     0.012083907
               35.558556                     0.011572749
               35.839388                     0.011093989
               36.120219                     0.010646987
               36.401051                     0.010231056
               36.681883                    0.0098454787
               36.962714                     0.009489415
               37.243546                    0.0091621078
               37.524378                    0.0088628764
               37.805209                     0.008590771
               38.086041                    0.0083448864
               38.366873                    0.0081245418
               38.647705                    0.0079288324
               38.928536                    0.0077567594
               39.209368                     0.007607497
                 39.4902                    0.0074801779
               39.771031                    0.0073738705
               40.051863                    0.0072876132
               40.332695                    0.0072204519
               40.613526                    0.0071715439
               40.894358                    0.0071399208
                41.17519                    0.0071245509
               41.456022                    0.0071246224
               41.736853                    0.0071391981
               42.017685                    0.0071672114
               42.298517                    0.0072078303
               42.579348                    0.0072601562
                42.86018                    0.0073231732
               43.141012                    0.0073960203
               43.421843                    0.0074778007
               43.702675                    0.0075675851
               43.983507                    0.0076645203
               44.264339                    0.0077677183
                44.54517                    0.0078763486
               44.826002                    0.0079895857
               45.106834                    0.0081065335
               45.387665                    0.0082264199
               45.668497                    0.0083484853
               45.949329                    0.0084719057
                46.23016                    0.0085959569
               46.510992                    0.0087199121
               46.791824                     0.008843045
               47.072656                    0.0089646965
               47.353487                    0.0090841549
               47.634319                    0.0092007945
               47.915151                    0.0093140735
               48.195982                    0.0094233118
               48.476814                    0.0095279192
               48.757646                    0.0096274782
               49.038477                    0.0097214205
               49.319309                    0.0098091698
               49.600141                    0.0098903603
               49.880973                    0.0099645619
               50.161804                     0.010031292
               50.442636                     0.010090247
               50.723468                     0.010141101
               51.004299                     0.010183452
               51.285131                      0.01021702
               51.565963                     0.010241569
               51.846794                     0.010256857
               52.127626                     0.010262679
               52.408458                     0.010258833
                52.68929                     0.010245176
               52.970121                     0.010221583
               53.250953                      0.01018792
               53.531785                     0.010144166
               53.812616                     0.010090256
               54.093448                     0.010026099
                54.37428                    0.0099517962
               54.655111                    0.0098673691
               54.935943                    0.0097727501
               55.216775                    0.0096681099
               55.497607                    0.0095536177
               55.778438                    0.0094292898
                56.05927                    0.0092952338
               56.340102                    0.0091516718
               56.620933                    0.0089988316
               56.901765                    0.0088368791
               57.182597                    0.0086659796
               57.463428                    0.0084864197
                57.74426                    0.0082984901
               58.025092                    0.0081024369
               58.305924                    0.0078985465
               58.586755                    0.0076870908
               58.867587                    0.0074684105
               59.148419                    0.0072429115
                59.42925                    0.0070108526
               59.710082                    0.0067725253
               59.990914                    0.0065284276
               60.271745                     0.006278948
               60.552577                    0.0060243272
               60.833409                    0.0057649845
