        Frequency / GHz                Y (2)/abs,linear
               5.2242205                       5.0699589
               5.2296852                       5.1116173
               5.2351498                       5.1507939
               5.2406145                       5.1848066
               5.2460791                       5.2116765
               5.2515438                       5.2301878
               5.2570085                       5.2398977
               5.2624731                        5.241104
               5.2679378                       5.2347757
               5.2734025                       5.2224494
               5.2788671                       5.2060953
               5.2843318                       5.1879549
               5.2897965                        5.170358
               5.2952611                       5.1555266
               5.3007258                       5.1453803
               5.3061905                       5.1413608
               5.3116551                       5.1442933
               5.3171198                       5.1543018
               5.3225845                       5.1707893
               5.3280491                       5.1924856
               5.3335138                       5.2175539
               5.3389785                       5.2437447
               5.3444431                       5.2685767
               5.3499078                       5.2895288
               5.3553725                       5.3042262
               5.3608371                       5.3106113
               5.3663018                       5.3070917
               5.3717665                        5.292663
               5.3772311                       5.2670038
               5.3826958                       5.2305425
               5.3881605                       5.1844934
               5.3936251                       5.1308578
               5.3990898                       5.0723838
               5.4045545                       5.0124753
               5.4100191                       4.9550401
               5.4154838                       4.9042699
               5.4209485                       4.8643504
               5.4264131                        4.839117
               5.4318778                       4.8316856
               5.4373424                       4.8441101
               5.4428071                       4.8771234
               5.4482718                       4.9300123
               5.4537364                       5.0006481
               5.4592011                       5.0856634
               5.4646658                       5.1807346

