        s / mm                X (ytest=0)/real
               244.54707                   0.00066812959
               245.09923                   0.00038362661
               245.65138                   9.5345261e-05
               246.20353                  -0.00019546296
               246.75568                   -0.0004874552
               247.30784                  -0.00077921452
               247.85999                   -0.0010694684
               248.41214                    -0.001356888
                248.9643                   -0.0016400101
               249.51645                   -0.0019175443
                250.0686                   -0.0021883087
               250.62076                    -0.002450975
               251.17291                   -0.0027042621
               251.72506                   -0.0029470771
               252.27722                   -0.0031783284
               252.82937                   -0.0033969301
               253.38152                   -0.0036019016
               253.93367                    -0.003792314
               254.48583                   -0.0039673399
               255.03798                   -0.0041262934
               255.59013                   -0.0042684794
               256.14229                   -0.0043932467
               256.69444                   -0.0045001671
               257.24659                   -0.0045888909
               257.79875                   -0.0046590368
                258.3509                   -0.0047103909
               258.90305                   -0.0047429219
               259.45521                   -0.0047566035
               260.00736                   -0.0047514598
               260.55951                    -0.004727672
               261.11166                   -0.0046855409
               261.66382                   -0.0046254326
               262.21597                   -0.0045477343
               262.76812                   -0.0044529221
               263.32028                   -0.0043416743
               263.87243                   -0.0042146963
               264.42458                   -0.0040726238
               264.97674                   -0.0039162664
               265.52889                    -0.003746556
               266.08104                   -0.0035643583
                266.6332                   -0.0033706273
               267.18535                   -0.0031663867
                267.7375                   -0.0029526217
               268.28965                   -0.0027304361
               268.84181                   -0.0025009543
               269.39396                    -0.002265196
               269.94611                    -0.002024295
               270.49827                   -0.0017794138
               271.05042                   -0.0015315815
               271.60257                   -0.0012819243
               272.15473                   -0.0010316057
               272.70688                  -0.00078160523
               273.25903                  -0.00053292288
               273.81119                  -0.00028665587
               274.36334                  -4.3786522e-05
