        s / mm                Y/real
               29.099427                     0.032516789
               29.380258                     0.031185978
                29.66109                     0.029893817
               29.941922                     0.028640457
               30.222754                     0.027426045
               30.503585                     0.026250611
               30.784417                     0.025114134
               31.065249                     0.024016644
                31.34608                     0.022958061
               31.626912                     0.021938247
               31.907744                      0.02095707
               32.188575                     0.020014282
               32.469407                     0.019109691
               32.750239                     0.018243085
               33.031071                     0.017413991
               33.311902                     0.016622059
               33.592734                     0.015867049
               33.873566                     0.015148445
               34.154397                     0.014465744
               34.435229                     0.013818513
               34.716061                     0.013206141
               34.996892                     0.012628077
               35.277724                     0.012083819
               35.558556                     0.011572676
               35.839388                     0.011093921
               36.120219                      0.01064691
               36.401051                     0.010230997
               36.681883                    0.0098454259
               36.962714                    0.0094893405
               37.243546                    0.0091620366
               37.524378                    0.0088628059
               37.805209                    0.0085906866
               38.086041                    0.0083448232
               38.366873                    0.0081244928
               38.647705                    0.0079287619
               38.928536                    0.0077566898
               39.209368                    0.0076074489
                 39.4902                    0.0074801281
               39.771031                    0.0073737952
               40.051863                    0.0072875269
               40.332695                    0.0072203876
               40.613526                      0.00717149
               40.894358                     0.007139854
                41.17519                    0.0071244858
               41.456022                     0.007124564
               41.736853                     0.007139135
               42.017685                    0.0071671399
               42.298517                    0.0072077585
               42.579348                    0.0072601074
                42.86018                    0.0073231248
               43.141012                    0.0073959322
               43.421843                    0.0074777178
               43.702675                     0.007567545
               43.983507                    0.0076644764
               44.264339                    0.0077676412
                44.54517                     0.007876261
               44.826002                    0.0079895219
               45.106834                    0.0081064939
               45.387665                    0.0082263501
               45.668497                    0.0083483837
               45.949329                    0.0084718477
                46.23016                    0.0085959332
               46.510992                    0.0087198478
               46.791824                    0.0088429597
               47.072656                    0.0089646375
               47.353487                    0.0090840962
               47.634319                    0.0092007235
               47.915151                      0.00931401
               48.195982                    0.0094232552
               48.476814                    0.0095278817
               48.757646                    0.0096274432
               49.038477                    0.0097213387
               49.319309                    0.0098090826
               49.600141                     0.009890304
               49.880973                    0.0099644921
               50.161804                     0.010031229
               50.442636                     0.010090206
               50.723468                     0.010141028
               51.004299                     0.010183363
               51.285131                     0.010216949
               51.565963                     0.010241509
               51.846794                     0.010256811
               52.127626                     0.010262611
               52.408458                     0.010258728
                52.68929                     0.010245106
               52.970121                     0.010221545
               53.250953                     0.010187854
               53.531785                     0.010144093
               53.812616                     0.010090207
               54.093448                     0.010026058
                54.37428                    0.0099517294
               54.655111                    0.0098672777
               54.935943                    0.0097726888
               55.216775                    0.0096680804
               55.497607                    0.0095535553
               55.778438                    0.0094291962
                56.05927                    0.0092951687
               56.340102                      0.00915163
               56.620933                    0.0089987599
               56.901765                    0.0088367907
               57.182597                    0.0086659297
               57.463428                    0.0084863802
                57.74426                       0.0082984
               58.025092                    0.0081023373
               58.305924                    0.0078984994
               58.586755                    0.0076870586
               58.867587                    0.0074683395
               59.148419                    0.0072428281
                59.42925                    0.0070108007
               59.710082                    0.0067724904
               59.990914                    0.0065283713
               60.271745                    0.0062788675
               60.552577                    0.0060242464
               60.833409                     0.005764918
