        Frequency / GHz                Z (8)/abs,linear
               4.2077926                       3175.4385
               4.2132573                        3522.255
                4.218722                       3865.4845
               4.2241866                       4202.6228
               4.2296513                       4531.1798
                4.235116                          4848.7
               4.2405806                       5152.7852
               4.2460453                       5441.1156
                 4.25151                       5711.4711
               4.2569746                       5961.7516
               4.2624393                       6189.9968
                4.267904                       6394.4042
               4.2733686                       6573.3462
               4.2788333                       6725.3859
                4.284298                         6849.29
               4.2897626                       6944.0417
               4.2952273                         7008.85
                4.300692                       7043.1576
               4.3061566                       7046.6465
               4.3116213                        7019.242
                4.317086                       6961.1129
               4.3225506                       6872.6714
               4.3280153                       6754.5687
                 4.33348                       6607.6902
               4.3389446                        6433.147
               4.3444093                       6232.2664
                4.349874                       6006.5796
               4.3553386                       5757.8079
               4.3608033                       5487.8471
                4.366268                       5198.7504
               4.3717326                       4892.7094
               4.3771973                        4572.035
                4.382662                       4239.1358
               4.3881266                       3896.4976
               4.3935913                       3546.6609
                4.399056                       3192.1997
               4.4045206                       2835.7007
               4.4099853                       2479.7437
               4.4154499                       2126.8865
               4.4209146                       1779.6575
               4.4263793                       1440.5681
               4.4318439                       1112.1794
               4.4373086                       797.35746
               4.4427733                       500.43232
               4.4482379                       236.15266
               4.4537026                       154.46641
               4.4591673                       353.63379
               4.4646319                       573.62064
               4.4700966                        778.3578
               4.4755613                       962.69175
               4.4810259                       1124.8495
               4.4864906                       1263.9812
               4.4919553                       1379.6849
               4.4974199                       1471.8695
               4.5028846                       1540.7016
               4.5083493                       1586.5796
               4.5138139                       1610.1164
               4.5192786                        1612.124
               4.5247433                       1593.6007
               4.5302079                       1555.7161
               4.5356726                       1499.7966
               4.5411373                         1427.31
               4.5466019                       1339.8508
               4.5520666                       1239.1251
               4.5575313                       1126.9385
               4.5629959                       1005.1892
               4.5684606                       875.87196
               4.5739253                       741.10966
               4.5793899                       603.25477
               4.5848546                       465.20073
               4.5903193                       331.46214
               4.5957839                       212.85648
               4.6012486                       147.43131
               4.6067133                       190.54172
               4.6121779                       290.81834
               4.6176426                       401.01213
               4.6231072                       508.27065
               4.6285719                       608.20917
               4.6340366                       698.65232
               4.6395012                       778.24656
               4.6449659                       846.06301
               4.6504306                       901.45801
               4.6558952                       944.01571
               4.6613599                        973.5206
               4.6668246                       989.94195
               4.6722892                       993.42296
               4.6777539                       984.27176
               4.6832186                       962.95289
               4.6886832                       930.07906
               4.6941479                       886.40313
               4.6996126                       832.81135
               4.7050772                       770.31915
               4.7105419                       700.07285
               4.7160066                       623.36385
               4.7214712                       541.67049
               4.7269359                        456.7646
               4.7324006                       370.98419
               4.7378652                       287.97638
               4.7433299                       214.84215
               4.7487946                       167.24757
               4.7542592                        167.5929
               4.7597239                       212.89222
               4.7651886                       278.74794
               4.7706532                       350.10728
               4.7761179                       420.47174
               4.7815826                       486.70837
               4.7870472                       547.00944
               4.7925119                       600.18518
               4.7979766                       645.39747
               4.8034412                       682.04868
               4.8089059                       709.73086
               4.8143706                       728.20031
               4.8198352                        737.3635
               4.8252999                       737.26822
               4.8307645                       728.09733
               4.8362292                       710.16376
               4.8416939                       683.90678
               4.8471585                       649.88991
               4.8526232                       608.80199
               4.8580879                       561.46422
               4.8635525                       508.84926
               4.8690172                       452.12429
               4.8744819                       392.74453
               4.8799465                        332.6564
               4.8854112                       274.74271
               4.8908759                        223.7499
               4.8963405                       187.64371
               4.9018052                        176.5491
               4.9072699                       193.99635
               4.9127345                       231.89567
               4.9181992                        279.8212
               4.9236639                       330.95598
               4.9291285                       381.45774
               4.9345932                       429.06363
               4.9400579                       472.32058
               4.9455225                       510.22767
               4.9509872                       542.06978
               4.9564519                       567.33717
               4.9619165                       585.68442
               4.9673812                        596.9085
               4.9728459                        600.9363
               4.9783105                       597.81717
               4.9837752                       587.71843
               4.9892399                       570.92295
               4.9947045                       547.82915
               5.0001692                       518.95429
               5.0056339                       484.94356
               5.0110985                       446.58926
               5.0165632                       404.86858
               5.0220279                       361.01539
               5.0274925                       316.65389
               5.0329572                       274.03664
               5.0384218                        236.4103
               5.0438865                       208.31617
               5.0493512                       194.92324
               5.0548158                       199.24031
               5.0602805                       219.42062
               5.0657452                       250.30017
               5.0712098                       286.75471
               5.0766745                       325.05881
               5.0821392                       362.73043
               5.0876038                       398.10412
               5.0930685                       430.02305
               5.0985332                       457.65979
               5.1039978                       480.41735
               5.1094625                       497.87451
               5.1149272                       509.75506
               5.1203918                       515.91027
               5.1258565                       516.30862
               5.1313212                       511.03004
               5.1367858                       500.26336
               5.1422505                       484.30646
               5.1477152                       463.56998
               5.1531798                        438.5858
               5.1586445                       410.02339
               5.1641092                       378.71845
               5.1695738                        345.7209
               5.1750385                       312.37103
               5.1805032                       280.40744
               5.1859678                       252.08049
               5.1914325                       230.14943
               5.1968972                       217.48085
               5.2023618                       216.02557
               5.2078265                       225.71728
               5.2132912                       244.46619
               5.2187558                        269.2781
               5.2242205                       297.31847
               5.2296852                       326.33186
               5.2351498                       354.63776
               5.2406145                       381.00268
               5.2460791                       404.51908
               5.2515438                       424.51949
               5.2570085                         440.521
               5.2624731                       452.19077
               5.2679378                       459.32475
               5.2734025                       461.83478
               5.2788671                       459.74103
               5.2843318                       453.16826
               5.2897965                        442.3451
               5.2952611                       427.60655
               5.3007258                       409.40011
               5.3061905                       388.29703
               5.3116551                       365.00999
               5.3171198                       340.41885
               5.3225845                       315.60365
               5.3280491                       291.87693
               5.3335138                       270.79036
               5.3389785                        254.0605
               5.3444431                       243.33764
               5.3499078                       239.79755
               5.3553725                       243.72092
               5.3608371                       254.36558
               5.3663018                        270.2492
               5.3717665                       289.61341
               5.3772311                       310.78277
               5.3826958                        332.3303
               5.3881605                       353.10814
               5.3936251                       372.21982
               5.3990898                        388.9792
               5.4045545                       402.87405
               5.4100191                       413.53837
               5.4154838                       420.73289
               5.4209485                       424.33198
               5.4264131                       424.31519
               5.4318778                       420.76218
               5.4373424                       413.85056
               5.4428071                       403.85589
               5.4482718                       391.15408
               5.4537364                       376.22594
               5.4592011                       359.66339
               5.4646658                       342.17616

