        Distance / mm                Charge distribution (distance) (xtest=5)/real
               59.166004                   1.4554815e-10
               59.486687                   1.3787072e-10
                59.80737                   1.3056002e-10
               60.128053                   1.2360075e-10
               60.448736                   1.1697817e-10
               60.769419                   1.1067801e-10
               61.090102                   1.0468648e-10
               61.410785                   9.8990308e-11
               61.731468                   9.3576658e-11
               62.052151                   8.8433165e-11
               62.372834                   8.3547911e-11
               62.693517                   7.8909412e-11
                 63.0142                    7.450661e-11
               63.334883                   7.0328862e-11
               63.655566                   6.6365926e-11
               63.976248                   6.2607954e-11
               64.296931                   5.9045479e-11
               64.617614                   5.5669404e-11
               64.938297                   5.2470993e-11
                65.25898                   4.9441858e-11
               65.579663                   4.6573949e-11
               65.900346                   4.3859546e-11
               66.221029                   4.1291246e-11
               66.541712                   3.8861953e-11
               66.862395                   3.6564872e-11
               67.183078                   3.4393491e-11
               67.503761                   3.2341582e-11
               67.824444                   3.0403182e-11
               68.145127                    2.857259e-11
                68.46581                   2.6844354e-11
               68.786493                   2.5213266e-11
               69.107176                   2.3674348e-11
               69.427859                   2.2222849e-11
               69.748542                   2.0854234e-11
               70.069225                   1.9564174e-11
               70.389907                   1.8348543e-11
                70.71059                   1.7203406e-11
               71.031273                   1.6125013e-11
               71.351956                   1.5109793e-11
               71.672639                   1.4154343e-11
               71.993322                   1.3255427e-11
               72.314005                   1.2409963e-11
               72.634688                   1.1615023e-11
               72.955371                   1.0867819e-11
               73.276054                   1.0165706e-11
               73.596737                   9.5061679e-12
                73.91742                   8.8868161e-12
               74.238103                   8.3053834e-12
               74.558786                   7.7597185e-12
               74.879469                   7.2477806e-12
               75.200152                   6.7676344e-12
               75.520835                   6.3174459e-12
               75.841518                   5.8954771e-12
               76.162201                    5.500082e-12
               76.482884                   5.1297023e-12
               76.803566                    4.782863e-12
               77.124249                   4.4581688e-12
               77.444932                   4.1543001e-12
               77.765615                   3.8700093e-12
               78.086298                   3.6041174e-12
               78.406981                   3.3555108e-12
               78.727664                   3.1231377e-12
               79.048347                   2.9060054e-12
                79.36903                    2.703177e-12
               79.689713                   2.5137688e-12
               80.010396                   2.3369476e-12
               80.331079                   2.1719279e-12
               80.651762                   2.0179696e-12
               80.972445                   1.8743755e-12
               81.293128                   1.7404894e-12
               81.613811                   1.6156934e-12
               81.934494                   1.4994062e-12
               82.255177                   1.3910811e-12
                82.57586                    1.290204e-12
               82.896543                   1.1962917e-12
               83.217225                   1.1088903e-12
               83.537908                   1.0275734e-12
               83.858591                   9.5194077e-13
               84.179274                   8.8161665e-13
               84.499957                   8.1624855e-13
                84.82064                   7.5550587e-13
               85.141323                   6.9907868e-13
               85.462006                   6.4667646e-13
               85.782689                   5.9802706e-13
               86.103372                   5.5287557e-13
               86.424055                   5.1098335e-13
               86.744738                   4.7212706e-13
               87.065421                   4.3609772e-13
               87.386104                    4.026999e-13
               87.706787                   3.7175089e-13
                88.02747                   3.4307992e-13
               88.348153                   3.1652744e-13
               88.668836                   2.9194445e-13
               88.989519                   2.6919182e-13
               89.310202                   2.4813972e-13
               89.630884                     2.28667e-13
               89.951567                   2.1066068e-13
                90.27225                   1.9401543e-13
               90.592933                   1.7863306e-13
               90.913616                    1.644221e-13
               91.234299                   1.5129735e-13
               91.554982                   1.3917949e-13
               91.875665                   1.2799469e-13
               92.196348                   1.1767426e-13
               92.517031                   1.0815429e-13
               92.837714                   9.9375381e-14
               93.158397                   9.1282318e-14
                93.47908                   8.3823791e-14
               93.799763                   7.6952144e-14
               94.120446                   7.0623125e-14
               94.441129                   6.4795661e-14
               94.761812                   5.9431639e-14
               95.082495                   5.4495705e-14
               95.403178                   4.9955076e-14
               95.723861                   4.5779365e-14
               96.044543                   4.1940412e-14
               96.365226                   3.8412131e-14
               96.685909                   3.5170367e-14
               97.006592                   3.2192757e-14
               97.327275                   2.9458609e-14
               97.647958                   2.6948779e-14
               97.968641                   2.4645562e-14
               98.289324                   2.2532592e-14
               98.610007                   2.0594742e-14
                98.93069                   1.8818039e-14
               99.251373                   1.7189575e-14
               99.572056                   1.5697436e-14
               99.892739                   1.4330623e-14
               100.21342                    1.307899e-14
                100.5341                   1.1933178e-14
